1964-001	9	Y Bar-Hillel, M Perles, E Shamir	On formal properties of simple phrase structure grammars.	D10-1001,D11-1031,D11-1112,D11-1127,N10-1130,N13-1116,P10-1109,P11-1008,P11-1048
1964-002	7	F J Damerau	A technique for computer detection and correction of spelling errors.	D10-1122,D14-1171,E12-1058,N12-1016,J11-2005,P11-1094,P12-2073
1964-012	7	Frederick Mosteller, David Lee Wallace	Inference and disputed authorship: The Federalist.	D13-1113,D13-1151,D13-1193,E14-4038,J14-2003,P11-1078,P11-2012
1960-004	8	J Cohen	A coefficient of agreement for nominal scales.	N10-1039,J10-1003,J10-3003,P10-1015,P10-1059,P10-1122,P10-1160,P10-2059
1990-002	5	George A Miller	Nouns in WordNet: A lexical inheritance system.	D10-1005,N15-1177,P12-2050,P12-2054,P16-1191
1990-003	8	G Miller	Wordnet: An On-line Lexical Database.	D10-1008,D13-1162,E12-1029,P10-1029,P12-1029,P13-1055,P14-2064,P18-2056
1990-006	88	Scott Deerwester, Susan T Dumais, George W Furnas, Thomas K Landauer, Richard Harshman	Indexing by latent semantic analysis.	D10-1025,D11-1132,D12-1073,D12-1111,D13-1063,D13-1106,D13-1115,D13-1142,D13-1167,D14-1002,D14-1051,D14-1161,D15-1127,D16-1028,D16-1175,D16-1188,D17-1031,D17-1058,D17-1113,D17-1243,D17-1290,D18-1172,D18-1212,D18-1482,D18-1495,D19-1049,D19-1219,D19-1557,D19-1641,E14-1044,E17-2068,E17-2081,E17-2084,N10-1012,N10-1013,N10-1070,N13-1026,N13-1089,N13-1090,N13-1133,N15-1092,N15-1144,N15-1172,N18-1072,N18-1075,N18-1093,N19-1074,N19-1109,N19-1255,N19-1326,J12-1002,J13-2002,J14-1004,J17-3004,J19-1001,Q15-1022,Q16-1030,Q17-1010,Q18-1008,P10-1056,P10-1093,P10-2022,P11-1015,P11-2053,P12-1006,P12-1063,P13-1026,P13-1064,P13-1086,P13-1142,P13-1169,P13-2027,P13-2038,P14-1066,P14-1078,P14-1144,P14-2010,P14-2064,P15-1014,P16-1023,P16-1193,P16-2080,P17-1068,P17-1092,P18-1218,P18-2015,P18-2084,P19-1436
1990-009	6	Leonard Kaufmann, Peter J Rousseeuw	Finding Groups in Data: an Introdution to Cluster Analysis.	D10-1035,E17-2063,J12-3005,Q13-1032,Q14-1041,P14-1033
1990-010	18	George A Miller, Richard Beckwith, Christiane Fellbaum, Derek Gross, Katherine Miller	WordNet: An on-line lexical database.	D10-1036,D12-1090,D14-1125,D17-1120,D17-1323,E17-2036,N10-1145,N15-1059,J11-4005,J13-3007,J13-3008,J14-4005,Q15-1001,Q15-1005,P10-1134,P11-1149,P12-1059,P19-1069
1990-011	36	S C Deerwester, S T Dumais, T K Landauer, G W Furnas, R A Harshman	Indexing by latent semantic analysis.	D10-1039,D12-1049,D12-1120,D13-1179,D14-1178,D14-1194,D15-1193,D15-1285,D17-1023,D17-1299,E14-1025,E14-1049,E17-1074,E17-2072,N15-1028,N15-1070,N15-1184,N16-1051,N16-1064,N18-1110,Q15-1016,Q15-1025,Q16-1028,P13-1132,P13-2053,P14-1024,P14-2081,P14-2105,P14-2131,P14-2133,P15-1077,P15-1124,P15-2093,P17-1169,P19-1165,P19-1536
1990-013	17	G Miller, R Beckwith, C Fellbaum, D Gross, K Miller	Introduction to WordNet: An on-line lexical database.	D10-1106,D16-1190,D18-1260,D19-1155,E14-1019,E14-1071,E17-2004,N16-1022,N16-1092,N16-1094,N18-1095,N19-1074,P11-2003,P13-1070,P16-1156,P17-1155,P18-1076
1990-014	6	J R Quinlan	Learning logical definitions from relations.	D10-1106,D11-1076,D16-1145,D19-1458,Q18-1021,P12-1037
1990-016	13	P Smolensky	Tensor product variable binding and the representation of symbolic structures in connectionist networks.	D10-1115,D11-1097,D11-1129,D12-1050,D15-1263,E17-2013,N18-1114,J10-4006,J15-1004,J16-4004,Q15-1024,P10-1021,P15-1132
1990-020	13	K Lari, S J Young	The estimation of stochastic context-free grammars using the inside-outside algorithm. Computer Speech and Language,	D11-1008,D12-1121,D15-1005,N12-1069,J10-2004,J12-3007,J18-1005,P10-1096,P10-2034,P10-2042,P12-2004,P13-1030,P19-1228
1990-021	7	Remko Scha	Taaltheorie en taaltechnologie: competence en performance. In	D11-1008,D11-1067,D14-1081,J13-1009,P10-1112,P11-2038,P13-2150
1990-022	25	J B Pollack	Recursive distributed representations.	D11-1014,D12-1110,D13-1124,D13-1170,D14-1081,D15-1092,D15-1177,D15-1180,D15-1215,D15-1280,E14-1051,E17-1002,N13-1090,N16-1035,N18-1114,J16-4004,Q14-1017,Q19-1004,P13-1088,P14-1062,P15-1112,P15-1113,P15-1168,P17-2075,P19-1153
